Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	 	2	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"125","main.cluster index_upperinput":"125"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=86&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	245.0000	245.0000	0	N/A	N/A	61676940.66364491	27	125	86	 	27	-229.0670	-1	231.0670	61676940.66364491
 	 	2	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"126","main.cluster index_upperinput":"126"}	This Node is a Singleton	N/A	N/A	N/A	 	245.1000	245.1000	0	N/A	N/A	24367244.433144964	27	126	-1	 	27	-229.2090	-1	231.2090	24367244.433144964
 	 	2	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"128","main.cluster index_upperinput":"128"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=75&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	245.0000	245.0000	0	N/A	N/A	7593871.6972178565	29	128	75	 	29	-229.8040	-1	231.8040	7593871.6972178565
 	 	2	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"127","main.cluster index_upperinput":"127"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=47&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	245.0000	245.0000	0	N/A	N/A	5345965.3707058905	27	127	47	 	27	-229.6120	-1	231.6120	5345965.3707058905
 	 	2	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"129","main.cluster index_upperinput":"129"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=36&task=a01316aea6d8420bb67d2b41576556d3&show=true	1S/C21H20O10/c22-7-14-17(27)18(28)19(29)21(31-14)16-11(25)5-10(24)15-12(26)6-13(30-20(15)16)8-1-3-9(23)4-2-8/h1-6,14,17-19,21-25,27-29H,7H2/t14-,17-,18+,19-,21+/m1/s1	Massbank:FIO00916 Vitexin	0.9226489999999999	 	245.0000	245.0000	0	OC[C@H]([C@@H](O)4)O[C@H]([C@H](O)[C@@H](O)4)c(c(O)3)c(O1)c(c(O)c3)C(=O)C=C(c(c2)ccc(O)c2)1	CCMSLIB00005777701	2515668.810536892	37	129	36	 	37	-230.0710	-1	232.0710	2515668.810536892
 	 	2	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"133","main.cluster index_upperinput":"133"}	This Node is a Singleton	N/A	N/A	N/A	 	245.0000	245.0000	0	N/A	N/A	2256161.123268055	27	133	-1	 	27	-231.0660	-1	233.0660	2256161.123268055
 	 	2	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"131","main.cluster index_upperinput":"131"}	This Node is a Singleton	N/A	N/A	N/A	 	245.4000	245.4000	0	N/A	N/A	132404.82736954352	14	131	-1	 	14	-230.3500	-1	232.3500	132404.82736954352
13.0	[M-H]-	3	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"198","main.cluster index_upperinput":"198"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=50&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	630.1000	630.1000	0	N/A	N/A	6492913.554045102	9	198	50	285.9454	9	-282.9390	-1	284.9390	6492913.554045102
 	 	3	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"207","main.cluster index_upperinput":"207"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=14&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	628.7000	628.7000	0	N/A	N/A	3701617.774979415	13	207	14	 	13	-283.1010	-1	285.1010	3701617.774979415
 	 	3	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"212","main.cluster index_upperinput":"212"}	This Node is a Singleton	N/A	N/A	N/A	 	629.7000	629.7000	0	N/A	N/A	1506513.862115166	10	212	-1	 	10	-283.3300	-1	285.3300	1506513.862115166
 	 	3	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"218","main.cluster index_upperinput":"218"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=174&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	628.8000	628.8000	0	N/A	N/A	1313324.440197312	10	218	174	 	10	-283.9500	-1	285.9500	1313324.440197312
 	 	3	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1137","main.cluster index_upperinput":"1137"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=36&task=a01316aea6d8420bb67d2b41576556d3&show=true	1S/C21H20O10/c22-7-14-17(27)18(28)19(29)21(31-14)16-11(25)5-10(24)15-12(26)6-13(30-20(15)16)8-1-3-9(23)4-2-8/h1-6,14,17-19,21-25,27-29H,7H2/t14-,17-,18+,19-,21+/m1/s1	Massbank:FIO00916 Vitexin	0.899858	 	629.3000	629.3000	0	OC[C@H]([C@@H](O)4)O[C@H]([C@H](O)[C@@H](O)4)c(c(O)3)c(O1)c(c(O)c3)C(=O)C=C(c(c2)ccc(O)c2)1	CCMSLIB00005777701	576843.3691330906	13	1137	36	 	13	-878.5100	-1	880.5100	576843.3691330906
14.0	[M-H-CH4]-	3	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"261","main.cluster index_upperinput":"261"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=65&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	629.5000	629.5000	0	N/A	N/A	387977.1535479257	23	261	65	314.0799	23	-295.0400	-1	297.0400	387977.1535479257
 	 	3	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"222","main.cluster index_upperinput":"222"}	This Node is a Singleton	N/A	N/A	N/A	 	629.3000	629.3000	0	N/A	N/A	380412.9094814358	8	222	-1	 	8	-284.3720	-1	286.3720	380412.9094814358
 	 	3	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"214","main.cluster index_upperinput":"214"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=31&task=a01316aea6d8420bb67d2b41576556d3&show=true	N/A	N/A	N/A	 	629.2000	629.2000	0	N/A	N/A	366919.09078287473	9	214	31	 	9	-283.7340	-1	285.7340	366919.09078287473
 	 	3	0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=a01316aea6d8420bb67d2b41576556d3&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1142","main.cluster index_upperinput":"1142"}	This Node is a Singleton	N/A	N/A	N/A	 	629.5000	629.5000	0	N/A	N/A	241298.0036338417	13	1142	-1	 	13	-879.5160	-1	881.5160	241298.0036338417
