CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
712	895	1	0.7991	-0.001
337	587	1	0.7859	0.679
669	878	1	0.8439	1.001
667	862	1	0.847	-0.999
335	860	1	0.8968	0.002
861	878	1	0.9095	0.320
337	586	1	0.7859	1.000
669	860	1	0.9162	1.004
336	669	1	0.9157	-0.679
335	861	1	0.8767	-0.320
668	862	1	0.847	-0.677
832	895	1	0.9304	-0.002
586	634	1	0.7906	0.002
668	861	1	0.836	0.002
335	667	1	0.9033	-0.000
336	895	1	0.8565	0.323
336	668	1	0.9205	0.000
667	895	1	0.8795	0.001
336	878	1	0.8251	0.322
415	832	1	0.7992	0.002
335	832	1	0.8469	0.003
668	669	1	0.948	-0.679
832	860	1	0.9009	-0.000
712	878	1	0.8525	-0.002
336	667	1	0.9205	0.322
337	634	1	0.85	1.003
586	587	1	1.0	-0.322
336	832	1	0.841	0.325
667	668	1	1.0	-0.322
667	860	1	0.9178	0.003
336	860	1	0.8638	0.325
832	861	1	0.8912	-0.323
669	832	1	0.8589	1.004
335	669	1	0.9199	-1.001
668	832	1	0.8648	0.325
668	878	1	0.8494	0.322
668	895	1	0.8795	0.323
667	861	1	0.836	-0.320
860	861	1	0.8718	-0.322
336	861	1	0.8706	0.003
878	895	1	0.9518	0.001
860	878	1	0.8739	-0.003
861	895	1	0.8915	0.320
860	862	1	0.8239	-1.001
668	860	1	0.9178	0.324
832	878	1	0.8926	-0.003
712	861	1	0.876	-0.321
667	832	1	0.8648	0.003
669	861	1	0.8634	0.681
860	895	1	0.9015	-0.002
667	669	1	0.948	-1.001
587	634	1	0.7906	0.324
669	862	1	0.8741	0.002
335	337	1	0.8615	-1.001
335	668	1	0.9033	-0.322
335	895	1	0.8624	0.001
669	895	1	0.8739	1.002
335	336	1	0.9719	-0.322
415	862	1	0.7459	-0.999
336	337	1	0.8629	-0.679
667	878	1	0.8494	0.000
577	588	2	0.885	-132.045
781	1220	2	0.9256	-0.518
781	1281	2	0.9415	-0.519
155	1363	2	0.8441	-14.065
1001	1083	2	0.8738	-0.001
775	1083	2	0.8158	-0.000
1110	1219	2	0.9187	0.001
836	1161	2	0.8289	-23.013
588	924	2	0.9366	0.003
781	1004	2	0.9236	0.490
1111	1363	2	0.9165	-0.001
172	1000	2	0.8964	0.000
1004	1280	2	0.9139	-0.002
1274	1449	2	0.8557	-0.003
447	1015	2	0.885	-0.001
776	994	2	0.8641	-57.001
936	1001	2	0.9353	0.001
183	991	2	0.8095	-15.997
1001	1015	2	0.914	-0.001
1019	1088	2	0.9605	0.002
1160	1177	2	0.8358	22.009
752	1179	2	0.815	-1.003
782	1497	2	0.9689	-0.001
1019	1220	2	0.9325	-1.007
172	763	2	0.869	-0.000
1159	1161	2	0.9783	-22.742
775	1000	2	0.9184	146.059
1004	1019	2	0.927	-0.001
1019	1219	2	0.9304	0.001
752	1178	2	0.815	-0.267
782	1281	2	0.9254	-0.002
338	588	2	0.8923	-0.004
782	1219	2	0.9149	1.007
1495	1497	2	1.0	-0.518
618	776	2	0.8092	57.003
199	491	2	0.8538	-0.004
