rowID	RN18_50_587_cent	RN18_50_588_cent	EN_ERS_1_cent	EN_ERS_2_cent	EN_ERS_3_cent	EN_ERS_4_cent	EN_ERS_6_cent	EN_ERS_7_cent	EN_ERS_8_cent	EN_ERS_11_cent	EN_ERS_18_cent	EN_ERS_24_cent	EN_ERS_28_cent	EN_ERS_29_cent	RN18_50_589_cent	EN_ERS_30_cent	EN_ERS_31_cent	EN_ERS_39_cent	EN_ERS_42_cent	EN_ERS_43_cent	EN_ERS_55_cent	EN_ERS_71_cent	EN_ERS_77_cent	EN_ERS_78_cent	EN_ERS_82_cent	EN_ERS_86_cent	EN_ERS_87_cent	RN18_50_590_cent	EN_ERS_89_cent	EN_ERS_92_cent	EN_ERS_96_cent	EN_ERS_98_cent	EN_ERS_99_cent	EN_ERS_103_cent	EN_ERS_105_cent	EN_ERS_106_cent	EN_ERS_112_cent	EN_ERS_121_cent	EN_ERS_149_cent	EN_ERS_163_cent	RN18_50_591_cent	EN_ERS_187_cent	EN_ERS_189_cent	EN_ERS_190_cent	EN_ERS_200_cent	EN_ERS_228_cent	EN_ERS_229_cent	EN_ERS_230_cent	EN_ERS_250_cent	EN_ERS_251_cent	EN_ERS_258_cent	EN_ERS_272_cent	EN_ERS_274_cent	RN18_50_592_cent	EN_ERS_5_cent	EN_ERS_9_cent	EN_ERS_10_cent	EN_ERS_12_cent	EN_ERS_13_cent	EN_ERS_16_cent	EN_ERS_17_cent	EN_ERS_19_cent	EN_ERS_25_cent	EN_ERS_41_cent	EN_ERS_57_cent	EN_ERS_62_cent	RN18_50_593_cent	EN_ERS_72_cent	EN_ERS_73_cent	EN_ERS_75_cent	EN_ERS_81_cent	EN_ERS_84_cent	EN_ERS_91_cent	EN_ERS_94_cent	EN_ERS_102_cent	EN_ERS_104_cent	EN_ERS_107_cent	EN_ERS_109_cent	EN_ERS_115_cent	RN18_50_594_cent	EN_ERS_116_cent	EN_ERS_118_cent	EN_ERS_122_cent	EN_ERS_150_cent	EN_ERS_153_cent	EN_ERS_156_cent	EN_ERS_164_cent	RN18_50_595_cent	RN18_50_596_cent	EN_ERS_171_cent	EN_ERS_188_cent	EN_ERS_198_cent	EN_ERS_201_cent	EN_ERS_207_cent	EN_ERS_209_cent	EN_ERS_217_cent	EN_ERS_225_cent	EN_ERS_245_cent	EN_ERS_247_cent	EN_ERS_252_cent	EN_ERS_253_cent	EN_ERS_271_cent	EN_ERS_276_cent	RN18_50_597_cent	EN_ERS_290_cent	EN_ERS_304_cent	EN_ERS_14_cent	EN_ERS_15_cent	EN_ERS_20_cent	EN_ERS_21_cent	EN_ERS_23_cent	EN_ERS_26_cent	EN_ERS_47_cent	EN_ERS_51_cent	EN_ERS_61_cent	EN_ERS_68_cent	EN_ERS_74_cent	EN_ERS_83_cent	RN18_50_599_cent	EN_ERS_85_cent	EN_ERS_88_cent	EN_ERS_93_cent	EN_ERS_110_cent	EN_ERS_113_cent	EN_ERS_117_cent	EN_ERS_119_cent	EN_ERS_120_cent	EN_ERS_123_cent	EN_ERS_125_cent	EN_ERS_126_cent	EN_ERS_138_cent	RN18_50_600_cent	EN_ERS_144_cent	EN_ERS_145_cent	EN_ERS_181_cent	EN_ERS_185_cent	EN_ERS_202_cent	EN_ERS_205_cent	EN_ERS_210_cent	EN_ERS_211_cent	EN_ERS_213_cent	EN_ERS_219_cent	EN_ERS_231_cent	EN_ERS_248_cent	RN18_50_601_cent	EN_ERS_254_cent	EN_ERS_255_cent	EN_ERS_265_cent	EN_ERS_269_cent	EN_ERS_273_cent	EN_ERS_281_cent	EN_ERS_288_cent	EN_ERS_22_cent	EN_ERS_27_cent	EN_ERS_32_cent	EN_ERS_33_cent	RN18_50_602_cent	EN_ERS_35_cent	EN_ERS_40_cent	EN_ERS_52_cent	EN_ERS_64_cent	EN_ERS_76_cent	EN_ERS_90_cent	EN_ERS_95_cent	EN_ERS_100_cent	EN_ERS_108_cent	EN_ERS_128_cent	EN_ERS_129_cent	EN_ERS_133_cent	RN18_50_603_cent	EN_ERS_140_cent	EN_ERS_142_cent	EN_ERS_147_cent	EN_ERS_148_cent	EN_ERS_151_cent	EN_ERS_152_cent	EN_ERS_154_cent	EN_ERS_157_cent	EN_ERS_162_cent	EN_ERS_177_cent	EN_ERS_182_cent	EN_ERS_193_cent	EN_ERS_195_cent	EN_ERS_203_cent	EN_ERS_208_cent	RN18_50_604_cent	RN18_50_605_cent	RN18_50_606_cent	EN_ERS_214_cent	EN_ERS_216_cent	EN_ERS_224_cent	EN_ERS_232_cent	EN_ERS_233_cent	EN_ERS_256_cent	EN_ERS_263_cent	EN_ERS_270_cent	EN_ERS_291_cent	EN_ERS_292_cent	EN_ERS_294_cent	EN_ERS_295_cent	RN18_50_607_cent	EN_ERS_301_cent	EN_ERS_34_cent	EN_ERS_36_cent	EN_ERS_38_cent	EN_ERS_50_cent	EN_ERS_56_cent	EN_ERS_63_cent	EN_ERS_66_cent	EN_ERS_114_cent	EN_ERS_124_cent	RN18_50_608_cent	EN_ERS_132_cent	EN_ERS_134_cent	EN_ERS_158_cent	EN_ERS_159_cent	EN_ERS_161_cent	EN_ERS_166_cent	EN_ERS_169_cent	EN_ERS_173_cent	EN_ERS_174_cent	EN_ERS_178_cent	EN_ERS_191_cent	EN_ERS_196_cent	RN18_50_609_cent	RN18_50_610_cent	EN_ERS_197_cent	EN_ERS_199_cent	EN_ERS_204_cent	EN_ERS_206_cent	EN_ERS_215_cent	EN_ERS_236_cent	EN_ERS_227_cent	EN_ERS_240_cent	EN_ERS_246_cent	EN_ERS_249_cent	EN_ERS_257_cent	EN_ERS_259_cent	RN18_50_611_cent	EN_ERS_261_cent	EN_ERS_284_cent	EN_ERS_296_cent	EN_ERS_297_cent	EN_ERS_300_cent	EN_ERS_37_cent	EN_ERS_48_cent	EN_ERS_65_cent	EN_ERS_67_cent	RN18_50_612_cent	EN_ERS_79_cent	EN_ERS_101_cent	EN_ERS_131_cent	EN_ERS_135_cent	EN_ERS_155_cent	EN_ERS_172_cent	EN_ERS_179_cent	EN_ERS_183_cent	EN_ERS_186_cent	EN_ERS_212_cent	EN_ERS_218_cent	RN18_50_613_cent	EN_ERS_221_cent	EN_ERS_241_cent	EN_ERS_260_cent	EN_ERS_262_cent	EN_ERS_266_cent	EN_ERS_267_cent	EN_ERS_275_cent	EN_ERS_277_cent	EN_ERS_286_cent	EN_ERS_287_cent	RN18_50_614_cent	EN_ERS_298_cent	EN_ERS_44_cent	EN_ERS_49_cent
125	826957.843578054	2979894.8452918	0	0	0	0	0	0	0	0	0	0	0	0	3540597.86661946	0	0	0	0	0	0	0	0	0	0	0	0	3571991.23823276	0	0	0	0	0	0	0	0	0	0	0	0	3719595.9602995	0	0	0	0	0	0	0	0	0	0	0	0	3737167.14790201	0	0	0	0	0	0	0	0	0	0	0	0	3931517.9555525	0	0	0	0	0	0	0	0	0	0	0	0	331538.526652404	0	0	0	0	0	0	0	1469186.7527547	1470955.97138759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2024361.34600414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2253478.11058944	0	0	0	0	0	0	0	0	0	0	0	0	2257109.17522753	0	0	0	0	0	0	0	0	0	0	0	0	2218962.5810306	0	0	0	0	0	0	0	0	0	0	0	2229843.39044617	0	0	0	0	0	0	0	0	0	0	0	0	2123130.59668771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2096183.14922746	1606798.61322425	1631432.32811983	0	0	0	0	0	0	0	0	0	0	0	0	1977317.97018854	0	0	0	0	0	0	0	0	0	0	2115060.35694974	0	0	0	0	0	0	0	0	0	0	0	0	2219473.32283392	1608989.10140586	0	0	0	0	0	0	0	0	0	0	0	0	2534454.27264204	0	0	0	0	0	0	0	0	0	2328395.79584866	0	0	0	0	0	0	0	0	0	0	0	2408330.40440992	0	0	0	0	0	0	0	0	0	0	2464216.04053832	0	0	0
126	607271.234596707	1447551.26113008	0	0	0	0	0	0	0	0	0	0	0	0	983367.513910636	0	0	0	0	0	0	0	0	0	0	0	0	1765263.05261887	0	0	0	0	0	0	0	0	0	0	0	0	1039964.76150338	0	0	0	0	0	0	0	0	0	0	0	0	981845.696783496	0	0	0	0	0	0	0	0	0	0	0	0	1950052.3725091	0	0	0	0	0	0	0	0	0	0	0	0	21665.1911448622	0	0	0	0	0	0	0	635981.940287337	246345.818979008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458558.368301191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1078602.70281731	0	0	0	0	0	0	0	0	0	0	0	0	1090643.75225212	0	0	0	0	0	0	0	0	0	0	0	0	479213.102279096	0	0	0	0	0	0	0	0	0	0	0	1066821.34691154	0	0	0	0	0	0	0	0	0	0	0	0	1008794.65158801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219272.921926784	710348.967440438	734631.175409627	0	0	0	0	0	0	0	0	0	0	0	0	946018.773036638	0	0	0	0	0	0	0	0	0	0	1016740.50952024	0	0	0	0	0	0	0	0	0	0	0	0	1065050.02212432	730628.141072944	0	0	0	0	0	0	0	0	0	0	0	0	621203.523066509	0	0	0	0	0	0	0	0	0	1114956.73276501	0	0	0	0	0	0	0	0	0	0	0	1154672.58834664	0	0	0	0	0	0	0	0	0	0	1191778.31082307	0	0	0
128	176425.380300163	492369.259980563	0	0	0	0	0	0	0	0	0	0	0	0	605039.834788098	0	0	0	0	0	0	0	0	0	0	0	0	622084.298549364	0	0	0	0	0	0	0	0	0	0	0	0	422040.147453118	0	0	0	0	0	0	0	10858.9173632944	34583.3748944351	0	0	0	397567.350491202	0	0	0	0	0	0	0	0	0	0	0	0	643122.255165536	0	0	0	0	0	0	0	0	0	0	0	0	37473.0461308343	0	0	0	0	0	0	0	91746.2923674309	101918.703995307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241546.317748023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261282.807111884	0	0	0	0	0	0	0	0	0	0	0	0	273140.073538256	0	0	0	0	0	0	0	0	0	0	0	0	240320.89549145	0	0	0	0	0	0	0	0	0	0	0	237571.725429825	0	0	0	0	0	0	0	0	0	0	0	0	208765.032217809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182831.630839711	121640.126842082	129389.32917409	0	0	0	0	0	0	0	0	0	0	0	0	225084.099957474	0	0	0	0	0	0	0	0	0	0	252603.394659355	0	0	0	0	0	0	0	0	0	0	0	0	260516.991945444	129714.724964571	0	0	0	0	0	0	0	0	0	0	0	0	354980.047169117	0	0	0	0	0	0	0	0	0	290927.638756473	0	0	0	0	0	0	0	0	0	0	0	274862.989049062	0	0	0	0	0	0	0	0	0	0	273465.010843883	0	0	0
127	316510.813452677	122423.800375104	0	0	0	0	0	0	0	0	0	0	0	0	157692.782799258	0	0	0	0	0	0	0	0	0	0	0	0	834086.461351548	0	0	0	0	0	0	0	0	0	0	0	0	167915.872122199	0	0	0	0	0	0	0	0	0	0	0	0	156706.826119884	0	0	0	0	0	0	0	0	0	0	0	0	158965.701752387	0	0	0	0	0	0	0	0	0	0	0	0	105488.668541552	0	0	0	0	0	0	0	5309.86343836141	7037.73864933718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355681.879517835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45447.3132977902	0	0	0	0	0	0	0	0	0	0	0	0	49835.2435088777	0	0	0	0	0	0	0	0	0	0	0	0	38120.3672675551	0	0	0	0	0	0	0	0	0	0	0	363942.797621098	0	0	0	0	0	0	0	0	0	0	0	0	326642.257808485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294600.28445771	9962.6428193028	13827.0106491981	0	0	0	0	0	0	0	0	0	0	0	0	39501.5651136591	0	0	0	0	0	0	0	0	0	0	47120.2076888546	0	0	0	0	0	0	0	0	0	0	0	0	385840.283578814	11751.6795080286	0	0	0	0	0	0	0	0	0	0	0	0	78949.5074132161	0	0	0	0	0	0	0	0	0	424837.827743598	0	0	0	0	0	0	0	0	0	0	0	411690.247729877	0	0	0	0	0	0	0	0	0	0	416075.726379684	0	0	0
129	33569.3033066417	15929.5044884143	0	0	0	0	0	0	0	0	0	0	0	0	231784.861137159	0	0	0	0	0	0	0	0	0	0	0	0	230209.993829207	0	0	0	0	0	0	0	0	0	0	0	0	233349.655181612	0	0	0	43517.9858553577	0	0	0	0	4514.87537457605	0	0	0	218052.014616658	0	0	0	0	0	0	0	0	0	0	0	0	15008.6090061058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12869.6182504706	55444.4600697646	0	0	0	6944.74279982064	0	0	0	0	0	0	0	28937.8920256768	0	0	67409.0182866425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140860.602496471	0	0	0	0	0	0	0	0	0	0	0	0	74866.9410293603	0	0	0	0	34093.303509759	0	0	0	0	0	0	0	121844.724850675	2620.32051470554	0	0	0	0	0	11920.8619216756	0	0	0	0	123617.311296252	0	0	0	0	0	0	0	0	0	0	0	0	102715.468697476	0	0	0	0	0	0	0	0	0	0	0	0	0	16681.4226360852	0	104027.851351435	17242.7824395748	25068.6039499827	0	0	0	0	0	0	0	0	0	0	5648.70861384597	15959.7235915629	106031.713773794	0	0	0	0	0	0	0	0	0	0	69730.555509839	0	0	0	0	0	0	0	0	0	0	0	0	71623.3369094103	58097.9836869866	0	0	12994.6517699926	0	0	0	0	0	0	0	0	0	2620.84429682598	0	0	0	0	0	0	0	0	0	82499.4495890714	0	0	0	0	0	0	0	0	0	0	0	43222.0058660255	0	0	0	0	0	0	0	0	0	0	74137.1080079791	0	0	0
133	17312.2039342904	153894.15140565	0	0	0	0	0	0	0	0	0	0	0	0	176537.665146149	0	0	0	0	0	0	0	0	0	0	0	0	176138.558811951	0	0	0	0	0	0	0	0	0	0	0	0	20185.3514617563	0	0	0	5143.04317980612	0	0	0	0	0	0	0	0	174106.048012121	0	0	0	0	0	0	0	0	0	0	0	0	185196.78214734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55272.4936328916	56297.3749355371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83510.9629554049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91327.9130712862	0	0	0	0	0	0	0	0	0	0	0	0	90992.0805067798	0	0	0	0	0	0	0	0	0	0	0	0	69510.2535126642	0	0	0	0	0	0	0	0	0	0	0	79474.253117385	0	0	0	0	0	0	0	0	0	0	0	0	70722.6315583405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63020.8816481884	46279.5829490741	51672.8710822568	0	0	0	0	0	0	0	0	0	0	0	0	65170.2629396311	0	0	0	0	0	0	0	0	0	0	74738.5531572008	0	0	0	0	0	0	0	0	0	0	0	0	77967.4644246825	48585.2289199869	0	0	0	0	0	0	0	0	0	0	0	0	91689.0945839103	0	0	0	0	0	0	0	0	0	77257.3817664372	0	0	0	0	0	0	0	0	0	0	0	77281.6468087717	0	0	0	0	0	0	0	0	0	0	76876.3875985615	0	0	0
131	7910.04776703672	7324.29498334524	0	0	0	0	0	0	0	0	0	0	0	0	47520.1600744089	0	0	0	0	0	0	0	0	0	0	0	0	12329.126844712	0	0	0	0	0	0	0	0	0	0	0	0	11567.6808293578	0	0	0	0	0	0	0	0	0	0	0	0	7546.89989579978	0	0	0	0	0	0	0	0	0	0	0	0	4014.34662975671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2899.55762569631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2817.81304103654	0	0	0	0	0	0	0	0	0	0	0	0	2860.98082821808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3737.19351550047	0	0	0	0	0	0	0	0	0	0	0	0	4379.17445859828	0	0	0	0	0	0	0	0	0	0	0	0	0	12817.1981342694	0	0	0	0	0	0	0	0	0	4680.35274180728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175943.980532283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130222.063039633	0	1621507.52130052	0	1099433.2552665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	921658.107740507	0	0	0	0	0	0	0	0	924171.423404916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	857235.054836555	0	0	0	0	0	761803.14480084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	939.003123346933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162202.67134601	0	0	523.573504675923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2644.51575216074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11586.9378340448	0	273671.330685056	0	122111.783477266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389187.597779803	0	0	0	0	0	0	0	0	136789.991860842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100962.396646191	0	0	0	0	0	3029.6436194874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	590137.012225558	0	0	0	0	0	0	1901795.05380508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6975.26644324006	0	0	0	0	0	0	0	0	0	0	0
212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9081.57722675904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261572.173320005	0	108283.980669442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2220.45049112307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123686.358107883	0	0	0	0	0	0	0	0	125810.979699786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92618.8494691522	0	0	0	0	0	64486.9053956185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243104.551640875	0	0	0	0	0	0	475648.036094522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
