id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
529_all_features_Matched_for_GNPS_msLevel2retentionTime27.373scanNum545	C8H8O2	[M - H]-	C8H8O2	Shikimates and Phenylpropanoids	0.736147106	Phenolic acids (C6-C1)	0.541991711	Cinnamic acids and derivatives	0.522385001	Catechols	0.580289423	Catechols	0.580289423	Benzenediols	0.674273789	Phenols	0.912273228	Benzenoids	0.999348462	Organic compounds; Phenols; Catechols; Organooxygen compounds; Benzenediols; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	FT0022
576_all_features_Matched_for_GNPS_msLevel2retentionTime27.374scanNum594	C8H8O2	[M - H]-	C8H8O2	Shikimates and Phenylpropanoids	0.78106308	Phenylethanoids (C6-C2)	0.549566865	Cinnamic acids and derivatives	0.535465121	1-hydroxy-2-unsubstituted benzenoids	0.751324594			1-hydroxy-2-unsubstituted benzenoids	0.751324594	Phenols	0.679160535	Benzenoids	0.999273956	Organic compounds; Phenols; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	FT0022
484_all_features_Matched_for_GNPS_msLevel2retentionTime376.071scanNum497	C7H4O4	[M - H]-	C7H4O4	Shikimates and Phenylpropanoids	0.610486329	Phloroglucinols	0.728022277	Acyl phloroglucinols	0.689788938	Acylphloroglucinols and derivatives	0.644124389	Phloroglucinols and derivatives	0.918209612	Benzenetriols and derivatives	0.776852667	Phenols	0.994936585	Benzenoids	0.999813974	Organic compounds; Alcohols and polyols; Phenols; Organic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Phloroglucinols and derivatives; Benzenetriols and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Acylphloroglucinols and derivatives; Vinylogous acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	FT0032
522_all_features_Matched_for_GNPS_msLevel2retentionTime375.10302scanNum538	C7H4O4	[M - H]-	C7H4O4	Shikimates and Phenylpropanoids	0.599109173	Phloroglucinols	0.756830037	Acyl phloroglucinols	0.718905866	Acylphloroglucinols and derivatives	0.666689277	Phloroglucinols and derivatives	0.924606204	Benzenetriols and derivatives	0.78961581	Phenols	0.995480776	Benzenoids	0.999829412	Organic compounds; Ketones; Alcohols and polyols; Phenols; Organic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Phloroglucinols and derivatives; Benzenetriols and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Acylphloroglucinols and derivatives; Vinylogous acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	FT0032
987_all_features_Matched_for_GNPS_msLevel2retentionTime378.37602scanNum102	C7H4O4	[M - H]-	C7H4O4	Shikimates and Phenylpropanoids	0.598408878	Phloroglucinols	0.771378815	Acyl phloroglucinols	0.728825092	Acylphloroglucinols and derivatives	0.665141821	Phloroglucinols and derivatives	0.931400359	Benzenetriols and derivatives	0.80149132	Phenols	0.996476829	Benzenoids	0.999859452	Organic compounds; Ketones; Alcohols and polyols; Phenols; Organic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Phloroglucinols and derivatives; Benzenetriols and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Acylphloroglucinols and derivatives; Vinylogous acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	FT0032
1459_all_features_Matched_for_GNPS_msLevel2retentionTime462.83904scanNum150	C7H4O4	[M - H]-	C7H4O4	Polyketides	0.566736817	Phloroglucinols	0.849219501	Acyl phloroglucinols	0.780097544	Phloroglucinols and derivatives	0.898555934	Phloroglucinols and derivatives	0.898555934	Benzenetriols and derivatives	0.773845851	Phenols	0.994107008	Benzenoids	0.998933256	Organic compounds; Ketones; Alcohols and polyols; Phenols; Organic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Phloroglucinols and derivatives; Benzenetriols and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Aryl ketones; Vinylogous acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	FT0034
1477_all_features_Matched_for_GNPS_msLevel2retentionTime463.05102scanNum151	C7H4O4	[M - H]-	C7H4O4	Polyketides	0.599551678	Phloroglucinols	0.847737134	Acyl phloroglucinols	0.790713012	Phloroglucinols and derivatives	0.835326433	Phloroglucinols and derivatives	0.835326433	Benzenetriols and derivatives	0.721406698	Phenols	0.98920536	Benzenoids	0.998843193	Organic compounds; Ketones; Phenols; Organic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Phloroglucinols and derivatives; Benzenetriols and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Aryl ketones; Vinylogous acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	FT0034
1520_all_features_Matched_for_GNPS_msLevel2retentionTime458.64102scanNum156	C7H4O4	[M - H]-	C7H4O4	Polyketides	0.588055193	Phloroglucinols	0.827688515	Acyl phloroglucinols	0.782466769	Phloroglucinols and derivatives	0.807050586	Phloroglucinols and derivatives	0.807050586	Benzenetriols and derivatives	0.712817311	Phenols	0.991531134	Benzenoids	0.998452187	Organic compounds; Ketones; Phenols; Organic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Phloroglucinols and derivatives; Benzenediols; Benzenetriols and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Aryl ketones; Vinylogous acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	FT0034
1556_all_features_Matched_for_GNPS_msLevel2retentionTime458.88scanNum1597	C7H4O4	[M - H]-	C7H4O4	Shikimates and Phenylpropanoids	0.541631699	Phloroglucinols	0.851033449	Acyl phloroglucinols	0.801511168	Acylphloroglucinols and derivatives	0.64585489	Phloroglucinols and derivatives	0.941173315	Benzenetriols and derivatives	0.827054322	Phenols	0.99661535	Benzenoids	0.999885917	Organic compounds; Ketones; Alcohols and polyols; Phenols; Organic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Phloroglucinols and derivatives; Benzenetriols and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Acylphloroglucinols and derivatives; Aryl ketones; Vinylogous acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	FT0034
129_all_features_Matched_for_GNPS_msLevel2retentionTime75.00798scanNum132	C7H6O4	[M - H]-	C7H6O4	Shikimates and Phenylpropanoids	0.909558415	Phenolic acids (C6-C1)	0.918281794	Simple phenolic acids	0.87072587	Salicylic acids	0.666943371	Hydroxybenzoic acid derivatives	0.978901923	Benzoic acids and derivatives	0.986747384	Benzene and substituted derivatives	0.999554098	Benzenoids	0.999759853	Organic compounds; Phenols; Catechols; Hydroquinones; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Salicylic acid and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Hydroxybenzoic acid derivatives; Benzenediols; Benzene and substituted derivatives; Benzenoids; Salicylic acids; Benzoic acids; Vinylogous acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	FT0040
