confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
1	1	1	1	1	0.8835042165471145	-108.76534784122356	0.0	52.54897118482953	C29H32O13	[M - H]-	MLGRWAZPBZFAGL	InChI=1S/C29H32O13/c1-12(10-39-28-25(33)24(32)23(31)21(9-30)41-28)17-6-14-16(40-17)5-4-13-26(14)42-22-11-38-18-8-20(37-3)19(36-2)7-15(18)29(22,35)27(13)34/h4-5,7-8,17,21-25,28,30-33,35H,1,6,9-11H2,2-3H3	Dalbin	COC1=C(C=C2C(=C1)C3(C(CO2)OC4=C(C3=O)C=CC5=C4CC(O5)C(=C)COC6C(C(C(C(O6)CO)O)O)O)O)OC	0.5	21676234;44257405	COCONUT:(CNP0386462);KNApSAcK:(10181);Natural Products:(UNPD166313 UNPD65706);PubChem:(21676234 44257405);SuperNatural:(SN00383535 SN00389531);PubMed	3178578	587.1736	497.451	554_all_features_Matched_for_GNPS_msLevel2retentionTime497.451scanNum572	FT0903
2	1	1	1	1	0.7754073125137533	-163.49156026967108	0.9994974874371858	25.74111079661436	C29H32O13	[M - H]-	MLGRWAZPBZFAGL	InChI=1S/C29H32O13/c1-12(10-39-28-25(33)24(32)23(31)21(9-30)41-28)17-6-14-16(40-17)5-4-13-26(14)42-22-11-38-18-8-20(37-3)19(36-2)7-15(18)29(22,35)27(13)34/h4-5,7-8,17,21-25,28,30-33,35H,1,6,9-11H2,2-3H3	Dalbin	COC1=C(C=C2C(=C1)C3(C(CO2)OC4=C(C3=O)C=CC5=C4CC(O5)C(=C)COC6C(C(C(C(O6)CO)O)O)O)O)OC	0.5	21676234;44257405	COCONUT:(CNP0386462);KNApSAcK:(10181);Natural Products:(UNPD166313 UNPD65706);PubChem:(21676234 44257405);SuperNatural:(SN00383535 SN00389531);PubMed	3178578	587.1751	497.38698	602_all_features_Matched_for_GNPS_msLevel2retentionTime497.38698scanNum625	FT0903
3	1	1	1	1	0.7713704669794179	-155.1308436607121	0.9999999999999999	32.97965012979968	C29H32O13	[M - H]-	MLGRWAZPBZFAGL	InChI=1S/C29H32O13/c1-12(10-39-28-25(33)24(32)23(31)21(9-30)41-28)17-6-14-16(40-17)5-4-13-26(14)42-22-11-38-18-8-20(37-3)19(36-2)7-15(18)29(22,35)27(13)34/h4-5,7-8,17,21-25,28,30-33,35H,1,6,9-11H2,2-3H3	Dalbin	COC1=C(C=C2C(=C1)C3(C(CO2)OC4=C(C3=O)C=CC5=C4CC(O5)C(=C)COC6C(C(C(C(O6)CO)O)O)O)O)OC	0.5	21676234;44257405	COCONUT:(CNP0386462);KNApSAcK:(10181);Natural Products:(UNPD166313 UNPD65706);PubChem:(21676234 44257405);SuperNatural:(SN00383535 SN00389531);PubMed	3178578	587.1745	496.695	313_all_features_Matched_for_GNPS_msLevel2retentionTime496.695scanNum322	FT0903
4	1	1	1	1	0.7256168629770569	-143.7441093561061	0.9974874371859295	10.659755224527423	C29H32O13	[M - H]-	MLGRWAZPBZFAGL	InChI=1S/C29H32O13/c1-12(10-39-28-25(33)24(32)23(31)21(9-30)41-28)17-6-14-16(40-17)5-4-13-26(14)42-22-11-38-18-8-20(37-3)19(36-2)7-15(18)29(22,35)27(13)34/h4-5,7-8,17,21-25,28,30-33,35H,1,6,9-11H2,2-3H3	Dalbin	COC1=C(C=C2C(=C1)C3(C(CO2)OC4=C(C3=O)C=CC5=C4CC(O5)C(=C)COC6C(C(C(C(O6)CO)O)O)O)O)OC	0.5	21676234;44257405	COCONUT:(CNP0386462);KNApSAcK:(10181);Natural Products:(UNPD166313 UNPD65706);PubChem:(21676234 44257405);SuperNatural:(SN00383535 SN00389531);PubMed	3178578	587.1761	498.65502	393_all_features_Matched_for_GNPS_msLevel2retentionTime498.65502scanNum406	FT0903
5	1	2	1	1	0.6942204775456887	-12.740085865864698	0.9999999999999999	-0.38591746886528133	C10H16O4S	[M - H]-	MIOPJNTWMNEORI	InChI=1S/C10H16O4S/c1-9(2)7-3-4-10(9,8(11)5-7)6-15(12,13)14/h7H,3-6H2,1-2H3,(H,12,13,14)	Ambap5872-08-2	CC1(C2CCC1(C(=O)C2)CS(=O)(=O)O)C	0.5	18462;65617;131278;218580;3033951;3057042;3680404;3798890;5771688;6992131;6993953;10220257;22806849;23308876;23308881;43833349;49791901;56609960;58892582;59847847;129831758	NORMAN:(NS00041086);COCONUT:(CNP0327860);PubChem:(18462 65617 131278 218580 3033951 3057042 3680404 3798890 5771688 6992131 6993953 10220257 22806849 23308876 23308881 43833349 49791901 56609960 58892582 59847847 129831758);CHEBI:(55384 55379 55408 55407 55403 55401);additional;MeSH:(18462 65617);PubChem class - safety and toxic;Training Set;PubMed	70008934	231.0672	251.87298	1775_all_features_Matched_for_GNPS_msLevel2retentionTime251.87298scanNum181	FT0125
6	1	2	1	1	0.6922545497184137	-12.683622678446948	0.9999999999999999	0.033198621213307966	C10H16O4S	[M - H]-	MIOPJNTWMNEORI	InChI=1S/C10H16O4S/c1-9(2)7-3-4-10(9,8(11)5-7)6-15(12,13)14/h7H,3-6H2,1-2H3,(H,12,13,14)	Ambap5872-08-2	CC1(C2CCC1(C(=O)C2)CS(=O)(=O)O)C	0.5	18462;65617;131278;218580;3033951;3057042;3680404;3798890;5771688;6992131;6993953;10220257;22806849;23308876;23308881;43833349;49791901;56609960;58892582;59847847;129831758	NORMAN:(NS00041086);COCONUT:(CNP0327860);PubChem:(18462 65617 131278 218580 3033951 3057042 3680404 3798890 5771688 6992131 6993953 10220257 22806849 23308876 23308881 43833349 49791901 56609960 58892582 59847847 129831758);CHEBI:(55384 55379 55408 55407 55403 55401);additional;MeSH:(18462 65617);PubChem class - safety and toxic;Training Set;PubMed	70008934	231.0674	246.372	1638_all_features_Matched_for_GNPS_msLevel2retentionTime246.372scanNum1679	FT0125
7	1	3	1	1	0.6914238781831487	-13.242121933503238	0.9999999999999999	0.4260085899168984	C10H16O4S	[M - H]-	MIOPJNTWMNEORI	InChI=1S/C10H16O4S/c1-9(2)7-3-4-10(9,8(11)5-7)6-15(12,13)14/h7H,3-6H2,1-2H3,(H,12,13,14)	Ambap5872-08-2	CC1(C2CCC1(C(=O)C2)CS(=O)(=O)O)C	0.5	18462;65617;131278;218580;3033951;3057042;3680404;3798890;5771688;6992131;6993953;10220257;22806849;23308876;23308881;43833349;49791901;56609960;58892582;59847847;129831758	NORMAN:(NS00041086);COCONUT:(CNP0327860);PubChem:(18462 65617 131278 218580 3033951 3057042 3680404 3798890 5771688 6992131 6993953 10220257 22806849 23308876 23308881 43833349 49791901 56609960 58892582 59847847 129831758);CHEBI:(55384 55379 55408 55407 55403 55401);additional;MeSH:(18462 65617);PubChem class - safety and toxic;Training Set;PubMed	70008934	231.0659	247.76202	1627_all_features_Matched_for_GNPS_msLevel2retentionTime247.76202scanNum166	FT0125
8	1	1	1	1	0.6913136214386353	-21.958883441061584	0.9999999999999999	26.143026809170806	C27H28O16	[M - H]-	FMMBDZGNMFRGMV	InChI=1S/C27H28O16/c1-27(39,7-17(32)33)8-18(34)40-9-16-20(35)22(37)23(38)26(42-16)43-25-21(36)19-14(31)5-11(28)6-15(19)41-24(25)10-2-3-12(29)13(30)4-10/h2-6,16,20,22-23,26,28-31,35,37-39H,7-9H2,1H3,(H,32,33)	Quercetin 3-[6''''-(3-hydroxy-3-methylglutaryl)galactoside]	CC(CC(=O)O)(CC(=O)OCC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O)O	-0.600000024	21722027;44235572;44259119;73829993;101346597;124582993;124582994	COCONUT:(CNP0182026);HMDB:(39373);KNApSAcK:(5948);Natural Products:(UNPD26567 UNPD115733);PubChem:(21722027 44235572 44259119 73829993 101346597 124582993 124582994);SuperNatural:(SN00330600 SN00295874);PubChem class - bio and metabolites;Training Set	19972122	607.1304	402.039	1415_all_features_Matched_for_GNPS_msLevel2retentionTime402.039scanNum1456	FT0940
9	1	3	1	1	0.6893823080870812	-12.985523183155035	0.9999999999999999	-0.7834854583661548	C10H16O4S	[M - H]-	MIOPJNTWMNEORI	InChI=1S/C10H16O4S/c1-9(2)7-3-4-10(9,8(11)5-7)6-15(12,13)14/h7H,3-6H2,1-2H3,(H,12,13,14)	Ambap5872-08-2	CC1(C2CCC1(C(=O)C2)CS(=O)(=O)O)C	0.5	18462;65617;131278;218580;3033951;3057042;3680404;3798890;5771688;6992131;6993953;10220257;22806849;23308876;23308881;43833349;49791901;56609960;58892582;59847847;129831758	NORMAN:(NS00041086);COCONUT:(CNP0327860);PubChem:(18462 65617 131278 218580 3033951 3057042 3680404 3798890 5771688 6992131 6993953 10220257 22806849 23308876 23308881 43833349 49791901 56609960 58892582 59847847 129831758);CHEBI:(55384 55379 55408 55407 55403 55401);additional;MeSH:(18462 65617);PubChem class - safety and toxic;Training Set;PubMed	70008934	231.0672	239.68902	1885_all_features_Matched_for_GNPS_msLevel2retentionTime239.68902scanNum192	FT0125
10	1	1	1	1	0.68908141157611	-188.4398656794553	0.9999999999999999	20.97907144433218	C29H32O13	[M - H]-	MLGRWAZPBZFAGL	InChI=1S/C29H32O13/c1-12(10-39-28-25(33)24(32)23(31)21(9-30)41-28)17-6-14-16(40-17)5-4-13-26(14)42-22-11-38-18-8-20(37-3)19(36-2)7-15(18)29(22,35)27(13)34/h4-5,7-8,17,21-25,28,30-33,35H,1,6,9-11H2,2-3H3	Dalbin	COC1=C(C=C2C(=C1)C3(C(CO2)OC4=C(C3=O)C=CC5=C4CC(O5)C(=C)COC6C(C(C(C(O6)CO)O)O)O)O)OC	0.5	21676234;44257405	COCONUT:(CNP0386462);KNApSAcK:(10181);Natural Products:(UNPD166313 UNPD65706);PubChem:(21676234 44257405);SuperNatural:(SN00383535 SN00389531);PubMed	3178578	587.1755	499.15596	817_all_features_Matched_for_GNPS_msLevel2retentionTime499.15596scanNum850	FT0903
